"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00427516","ST. GEORGE, UT US","1918-01-01",,,"65","28"
"USC00427516","ST. GEORGE, UT US","1918-01-02",,,"66","29"
"USC00427516","ST. GEORGE, UT US","1918-01-03",,,"66","31"
"USC00427516","ST. GEORGE, UT US","1918-01-04",,,"69","30"
"USC00427516","ST. GEORGE, UT US","1918-01-05",,,"66","27"
"USC00427516","ST. GEORGE, UT US","1918-01-06",,,"61","32"
"USC00427516","ST. GEORGE, UT US","1918-01-07",,,"61","26"
"USC00427516","ST. GEORGE, UT US","1918-01-08",,,"59","26"
"USC00427516","ST. GEORGE, UT US","1918-01-09",,,"51","26"
"USC00427516","ST. GEORGE, UT US","1918-01-10",,,"42","17"
"USC00427516","ST. GEORGE, UT US","1918-01-11",,,"44","16"
"USC00427516","ST. GEORGE, UT US","1918-01-12",,,"52","32"
"USC00427516","ST. GEORGE, UT US","1918-01-13",,,"54","25"
"USC00427516","ST. GEORGE, UT US","1918-01-14",,,"41","17"
"USC00427516","ST. GEORGE, UT US","1918-01-15",,,"45","18"
"USC00427516","ST. GEORGE, UT US","1918-01-16",,,"55","20"
"USC00427516","ST. GEORGE, UT US","1918-01-17",,,"58","23"
"USC00427516","ST. GEORGE, UT US","1918-01-18",,,"61","24"
"USC00427516","ST. GEORGE, UT US","1918-01-19",,,"48","20"
"USC00427516","ST. GEORGE, UT US","1918-01-20",,,"53","17"
"USC00427516","ST. GEORGE, UT US","1918-01-21",,,"50","15"
"USC00427516","ST. GEORGE, UT US","1918-01-22",,,"52","19"
"USC00427516","ST. GEORGE, UT US","1918-01-23",,,"56","20"
"USC00427516","ST. GEORGE, UT US","1918-01-24",,,"60","23"
"USC00427516","ST. GEORGE, UT US","1918-01-25","0.45",,"61","22"
"USC00427516","ST. GEORGE, UT US","1918-01-26","0.05",,"50","26"
"USC00427516","ST. GEORGE, UT US","1918-01-27",,,"45","25"
"USC00427516","ST. GEORGE, UT US","1918-01-28",,,"48","23"
"USC00427516","ST. GEORGE, UT US","1918-01-29",,,"52","23"
"USC00427516","ST. GEORGE, UT US","1918-01-30",,,"54","24"
"USC00427516","ST. GEORGE, UT US","1918-01-31",,,"47","17"
"USC00427516","ST. GEORGE, UT US","1918-02-01",,,,"19"
"USC00427516","ST. GEORGE, UT US","1918-02-02",,,"55","19"
"USC00427516","ST. GEORGE, UT US","1918-02-03",,,"63","24"
"USC00427516","ST. GEORGE, UT US","1918-02-04",,,"64","25"
"USC00427516","ST. GEORGE, UT US","1918-02-05",,,"53","25"
"USC00427516","ST. GEORGE, UT US","1918-02-06",,,"67","27"
"USC00427516","ST. GEORGE, UT US","1918-02-07","0.05",,"57","33"
"USC00427516","ST. GEORGE, UT US","1918-02-08",,,"60","24"
"USC00427516","ST. GEORGE, UT US","1918-02-09",,,"51","24"
"USC00427516","ST. GEORGE, UT US","1918-02-10",,,"66","25"
"USC00427516","ST. GEORGE, UT US","1918-02-11",,,"68","28"
"USC00427516","ST. GEORGE, UT US","1918-02-12",,,"65","29"
"USC00427516","ST. GEORGE, UT US","1918-02-13",,,"66","23"
"USC00427516","ST. GEORGE, UT US","1918-02-14",,,"60","26"
"USC00427516","ST. GEORGE, UT US","1918-02-15",,,"61","20"
"USC00427516","ST. GEORGE, UT US","1918-02-16",,,"61","31"
"USC00427516","ST. GEORGE, UT US","1918-02-17",,,"65","32"
"USC00427516","ST. GEORGE, UT US","1918-02-18",,,"50","26"
"USC00427516","ST. GEORGE, UT US","1918-02-19","0.08",,"43","27"
"USC00427516","ST. GEORGE, UT US","1918-02-20",,,"51","35"
"USC00427516","ST. GEORGE, UT US","1918-02-21","0.30",,"71","34"
"USC00427516","ST. GEORGE, UT US","1918-02-22","0.17",,"56","46"
"USC00427516","ST. GEORGE, UT US","1918-02-23",,,"63","45"
"USC00427516","ST. GEORGE, UT US","1918-02-24","0.03",,"57","40"
"USC00427516","ST. GEORGE, UT US","1918-02-25",,,"59","34"
"USC00427516","ST. GEORGE, UT US","1918-02-26","0.03",,"65","42"
"USC00427516","ST. GEORGE, UT US","1918-02-27",,,"65","27"
"USC00427516","ST. GEORGE, UT US","1918-02-28",,,"68","28"
"USC00427516","ST. GEORGE, UT US","1918-03-01",,,"70","30"
"USC00427516","ST. GEORGE, UT US","1918-03-02",,,"69","33"
"USC00427516","ST. GEORGE, UT US","1918-03-03",,,"73","35"
"USC00427516","ST. GEORGE, UT US","1918-03-04",,,"71","41"
"USC00427516","ST. GEORGE, UT US","1918-03-05","0.25",,"70","49"
"USC00427516","ST. GEORGE, UT US","1918-03-06","0.20",,"60","48"
"USC00427516","ST. GEORGE, UT US","1918-03-07","0.40",,"58","48"
"USC00427516","ST. GEORGE, UT US","1918-03-08","0.02",,"53","31"
"USC00427516","ST. GEORGE, UT US","1918-03-09",,,"64","36"
"USC00427516","ST. GEORGE, UT US","1918-03-10","0.04",,"67","41"
"USC00427516","ST. GEORGE, UT US","1918-03-11","0.37",,"69","52"
"USC00427516","ST. GEORGE, UT US","1918-03-12","0.48",,"65","38"
"USC00427516","ST. GEORGE, UT US","1918-03-13",,,"59","34"
"USC00427516","ST. GEORGE, UT US","1918-03-14",,,"65","34"
"USC00427516","ST. GEORGE, UT US","1918-03-15",,,"69","34"
"USC00427516","ST. GEORGE, UT US","1918-03-16",,,"71","35"
"USC00427516","ST. GEORGE, UT US","1918-03-17",,,"72","39"
"USC00427516","ST. GEORGE, UT US","1918-03-18",,,"64","44"
"USC00427516","ST. GEORGE, UT US","1918-03-19","0.55",,"53","42"
"USC00427516","ST. GEORGE, UT US","1918-03-20","0.25",,"47","38"
"USC00427516","ST. GEORGE, UT US","1918-03-21",,,"63","40"
"USC00427516","ST. GEORGE, UT US","1918-03-22",,,"70","39"
"USC00427516","ST. GEORGE, UT US","1918-03-23",,,"77","41"
"USC00427516","ST. GEORGE, UT US","1918-03-24",,,"80","45"
"USC00427516","ST. GEORGE, UT US","1918-03-25",,,"77","45"
"USC00427516","ST. GEORGE, UT US","1918-03-26",,,"71","38"
"USC00427516","ST. GEORGE, UT US","1918-03-27",,,"68","37"
"USC00427516","ST. GEORGE, UT US","1918-03-28",,,"65","42"
"USC00427516","ST. GEORGE, UT US","1918-03-29",,,"77","44"
"USC00427516","ST. GEORGE, UT US","1918-03-30",,,"79","43"
"USC00427516","ST. GEORGE, UT US","1918-03-31",,,"81","44"
"USC00427516","ST. GEORGE, UT US","1918-04-01",,,"77","50"
"USC00427516","ST. GEORGE, UT US","1918-04-02",,,"74","42"
"USC00427516","ST. GEORGE, UT US","1918-04-03",,,"53","33"
"USC00427516","ST. GEORGE, UT US","1918-04-04",,,"59","30"
"USC00427516","ST. GEORGE, UT US","1918-04-05",,,"63","31"
"USC00427516","ST. GEORGE, UT US","1918-04-06",,,"75","53"
"USC00427516","ST. GEORGE, UT US","1918-04-07",,,"71","43"
"USC00427516","ST. GEORGE, UT US","1918-04-08",,,"82","46"
"USC00427516","ST. GEORGE, UT US","1918-04-09",,,"80","54"
"USC00427516","ST. GEORGE, UT US","1918-04-10",,,"81","48"
"USC00427516","ST. GEORGE, UT US","1918-04-11",,,"79","49"
"USC00427516","ST. GEORGE, UT US","1918-04-12",,,"80","52"
"USC00427516","ST. GEORGE, UT US","1918-04-13",,,"61","39"
"USC00427516","ST. GEORGE, UT US","1918-04-14",,,"68","39"
"USC00427516","ST. GEORGE, UT US","1918-04-15",,,"71","44"
"USC00427516","ST. GEORGE, UT US","1918-04-16",,,"70","39"
"USC00427516","ST. GEORGE, UT US","1918-04-17",,,"70","39"
"USC00427516","ST. GEORGE, UT US","1918-04-18",,,"68","39"
"USC00427516","ST. GEORGE, UT US","1918-04-19",,,"73","38"
"USC00427516","ST. GEORGE, UT US","1918-04-20",,,"71","37"
"USC00427516","ST. GEORGE, UT US","1918-04-21",,,"80","45"
"USC00427516","ST. GEORGE, UT US","1918-04-22",,,"83","48"
"USC00427516","ST. GEORGE, UT US","1918-04-23",,,"83","47"
"USC00427516","ST. GEORGE, UT US","1918-04-24",,,"83","52"
